n,factor
2,1.77215031401128
3,2.20490706121783
4,2.01667257481149
5,1.80392665369503
6,1.76378751746339
7,1.68681303345622
8,1.67184278443567
9,1.63294016075791
10,1.6246810650484
11,1.6013076337908
12,1.59615457000095
13,1.58075408500065
14,1.57727163958514
15,1.56633918102495
16,1.563769189137
17,1.55528357500435
18,1.55337051719073
19,1.54720644239018
20,1.54570532943888
21,1.54068080043537
22,1.53930242326663
23,1.53516535930913
24,1.53405281589801
25,1.53051736024408
26,1.52999614406214
27,1.52691638585591
28,1.52642182026879
29,1.52360752490565
30,1.52303123494021
31,1.52073214384098
32,1.52033339664348
33,1.51850887946954
34,1.5179411017062
35,1.516278614915
36,1.51607038182665
37,1.51442467271081
38,1.5139885640276
39,1.51274703114463
40,1.51241802749973
41,1.51107787666011
42,1.51104045314594
43,1.50985833210255
44,1.50949923054507
45,1.50852869782362
46,1.50836448048652
47,1.50753549887505
48,1.50724706453308
49,1.50638227030103
50,1.50630727739137
51,1.50561096527696
52,1.50517242960477
53,1.50457533765174
54,1.50441732277801
55,1.50371299562244
56,1.50360365215674
57,1.50309481193358
58,1.50286367630315
59,1.5022534969499
60,1.50208546870306
61,1.50161096150621
62,1.50146025906744
63,1.5010191227339
64,1.50084088721936
65,1.50033057467514
66,1.50034287277039
67,1.49987735592797
68,1.49977145211224
69,1.49929067305835
70,1.49921592975275
71,1.49892172882822
72,1.49883747616366
73,1.49849101847267
74,1.49839893948523
75,1.49791646709019
76,1.4979005766753
77,1.49748845170632
78,1.49754411466407
79,1.49724754537065
80,1.49718464725137
81,1.49679739596976
82,1.49677865821112
83,1.4964277141567
84,1.49650097127633
85,1.49629451031055
86,1.49608871018355
87,1.49579377337235
88,1.49579588611912
89,1.49555703263368
90,1.49542006202525
91,1.49526984558342
92,1.4951406172358
93,1.49494432939465
94,1.49495804676209
95,1.49470589845956
96,1.49466536372314
97,1.49437942273619
98,1.49433152551568
99,1.49411331572393
100,1.49419929692878
109,1.49314035519043
110,1.49309298846113
119,1.49228611076418
120,1.49220335332154
129,1.49143539376874
130,1.49140418774081
139,1.49078858586717
140,1.49081167113504
149,1.49022322005295
150,1.49020494609961
159,1.48974674594983
160,1.48972159802255
169,1.4893447801945
170,1.48934298485506
179,1.48897906916512
180,1.48893271372454
189,1.48867975359967
190,1.48868154734048
199,1.48831526548369
200,1.48829898051331
249,1.48721496443931
250,1.48719930026264
299,1.48638283324195
300,1.48638298225928
349,1.48581380504521
350,1.48582675973959
399,1.48545637438334
400,1.4854651554998
449,1.48515653923744
450,1.48515817572603
499,1.48484938957178
500,1.48483853382139