"distribution","n","sm","hd","thd.sqrt"
"Uniform(a=0, b=1)",5,0.15952,0.1178,0.13712
"Uniform(a=0, b=1)",6,0.1372,0.10656,0.12256
"Uniform(a=0, b=1)",7,0.13834,0.10463,0.12319
"Uniform(a=0, b=1)",8,0.11956,0.09963,0.11156
"Uniform(a=0, b=1)",9,0.12065,0.09661,0.11068
"Uniform(a=0, b=1)",10,0.11266,0.09498,0.10603
"Uniform(a=0, b=1)",11,0.1098,0.09046,0.10085
"Uniform(a=0, b=1)",12,0.10352,0.08991,0.09804
"Uniform(a=0, b=1)",13,0.09958,0.08593,0.09357
"Uniform(a=0, b=1)",14,0.09333,0.08216,0.08938
"Uniform(a=0, b=1)",15,0.09729,0.08288,0.09016
"Uniform(a=0, b=1)",16,0.09031,0.07936,0.08657
"Uniform(a=0, b=1)",17,0.0853,0.07419,0.07962
"Uniform(a=0, b=1)",18,0.08405,0.07399,0.0802
"Uniform(a=0, b=1)",19,0.0856,0.07607,0.08157
"Uniform(a=0, b=1)",20,0.07946,0.07004,0.07563
"Uniform(a=0, b=1)",21,0.07913,0.06813,0.0729
"Uniform(a=0, b=1)",22,0.0748,0.06694,0.0714
"Uniform(a=0, b=1)",23,0.07651,0.06862,0.0729
"Uniform(a=0, b=1)",24,0.07435,0.06652,0.07077
"Uniform(a=0, b=1)",25,0.07034,0.064,0.06749
"Uniform(a=0, b=1)",26,0.06946,0.06287,0.06686
"Uniform(a=0, b=1)",27,0.06971,0.06214,0.06541
"Uniform(a=0, b=1)",28,0.07004,0.06298,0.06674
"Uniform(a=0, b=1)",29,0.06926,0.05973,0.0636
"Uniform(a=0, b=1)",30,0.06678,0.06067,0.064
"Uniform(a=0, b=1)",31,0.06564,0.05768,0.06118
"Uniform(a=0, b=1)",32,0.06119,0.05583,0.05868
"Uniform(a=0, b=1)",33,0.0643,0.05695,0.06011
"Uniform(a=0, b=1)",34,0.05953,0.05401,0.05706
"Uniform(a=0, b=1)",35,0.06226,0.05661,0.05974
"Uniform(a=0, b=1)",36,0.06407,0.05843,0.0616
"Uniform(a=0, b=1)",37,0.06194,0.05611,0.05881
"Uniform(a=0, b=1)",38,0.05943,0.05441,0.05704
"Uniform(a=0, b=1)",39,0.05874,0.05262,0.0553
"Uniform(a=0, b=1)",40,0.05692,0.05288,0.05537
"Uniform(a=0, b=1)",41,0.05752,0.05224,0.05454
"Uniform(a=0, b=1)",42,0.05538,0.05127,0.05355
"Uniform(a=0, b=1)",43,0.05577,0.05058,0.05303
"Uniform(a=0, b=1)",44,0.0548,0.05047,0.05272
"Uniform(a=0, b=1)",45,0.05346,0.04813,0.05057
"Uniform(a=0, b=1)",46,0.05256,0.04842,0.05044
"Uniform(a=0, b=1)",47,0.05425,0.04946,0.05192
"Uniform(a=0, b=1)",48,0.05487,0.05045,0.05259
"Uniform(a=0, b=1)",49,0.05151,0.04642,0.04878
"Uniform(a=0, b=1)",50,0.05082,0.04746,0.04939
"Triangular(a=0, b=2, c=1)",5,0.23901,0.17049,0.19439
"Triangular(a=0, b=2, c=1)",6,0.1889,0.15725,0.17551
"Triangular(a=0, b=2, c=1)",7,0.20314,0.15467,0.17714
"Triangular(a=0, b=2, c=1)",8,0.17883,0.14491,0.16368
"Triangular(a=0, b=2, c=1)",9,0.17885,0.14085,0.16113
"Triangular(a=0, b=2, c=1)",10,0.16213,0.13719,0.15211
"Triangular(a=0, b=2, c=1)",11,0.15441,0.12445,0.13717
"Triangular(a=0, b=2, c=1)",12,0.144,0.126,0.13728
"Triangular(a=0, b=2, c=1)",13,0.14399,0.12008,0.13145
"Triangular(a=0, b=2, c=1)",14,0.13574,0.11821,0.12843
"Triangular(a=0, b=2, c=1)",15,0.13703,0.11685,0.12552
"Triangular(a=0, b=2, c=1)",16,0.13151,0.11473,0.12483
"Triangular(a=0, b=2, c=1)",17,0.12134,0.10712,0.11408
"Triangular(a=0, b=2, c=1)",18,0.11916,0.10471,0.11253
"Triangular(a=0, b=2, c=1)",19,0.11878,0.10576,0.11154
"Triangular(a=0, b=2, c=1)",20,0.11569,0.10095,0.10875
"Triangular(a=0, b=2, c=1)",21,0.11242,0.09832,0.10432
"Triangular(a=0, b=2, c=1)",22,0.10718,0.09654,0.10222
"Triangular(a=0, b=2, c=1)",23,0.11418,0.10363,0.10955
"Triangular(a=0, b=2, c=1)",24,0.1031,0.09305,0.09861
"Triangular(a=0, b=2, c=1)",25,0.10424,0.0937,0.09804
"Triangular(a=0, b=2, c=1)",26,0.1023,0.09245,0.09739
"Triangular(a=0, b=2, c=1)",27,0.09778,0.08701,0.09237
"Triangular(a=0, b=2, c=1)",28,0.09736,0.08938,0.09388
"Triangular(a=0, b=2, c=1)",29,0.09791,0.08795,0.09281
"Triangular(a=0, b=2, c=1)",30,0.09426,0.08588,0.09066
"Triangular(a=0, b=2, c=1)",31,0.09659,0.0862,0.09082
"Triangular(a=0, b=2, c=1)",32,0.09043,0.08288,0.08686
"Triangular(a=0, b=2, c=1)",33,0.0881,0.08158,0.08519
"Triangular(a=0, b=2, c=1)",34,0.08766,0.07957,0.08363
"Triangular(a=0, b=2, c=1)",35,0.08859,0.08027,0.08404
"Triangular(a=0, b=2, c=1)",36,0.08879,0.08147,0.08528
"Triangular(a=0, b=2, c=1)",37,0.08545,0.07849,0.08215
"Triangular(a=0, b=2, c=1)",38,0.0853,0.07751,0.08145
"Triangular(a=0, b=2, c=1)",39,0.08439,0.07596,0.07919
"Triangular(a=0, b=2, c=1)",40,0.07965,0.07473,0.07739
"Triangular(a=0, b=2, c=1)",41,0.08096,0.07316,0.07692
"Triangular(a=0, b=2, c=1)",42,0.08189,0.07463,0.07808
"Triangular(a=0, b=2, c=1)",43,0.07981,0.07398,0.07706
"Triangular(a=0, b=2, c=1)",44,0.07658,0.07014,0.07311
"Triangular(a=0, b=2, c=1)",45,0.07927,0.07181,0.07485
"Triangular(a=0, b=2, c=1)",46,0.07428,0.06908,0.0717
"Triangular(a=0, b=2, c=1)",47,0.07411,0.06845,0.071
"Triangular(a=0, b=2, c=1)",48,0.07758,0.07189,0.07464
"Triangular(a=0, b=2, c=1)",49,0.07575,0.06945,0.07224
"Triangular(a=0, b=2, c=1)",50,0.07494,0.06993,0.07245
"Triangular(a=0, b=2, c=0.2)",5,0.25361,0.19542,0.22311
"Triangular(a=0, b=2, c=0.2)",6,0.21714,0.17987,0.19999
"Triangular(a=0, b=2, c=0.2)",7,0.219,0.16785,0.19404
"Triangular(a=0, b=2, c=0.2)",8,0.19603,0.16129,0.18053
"Triangular(a=0, b=2, c=0.2)",9,0.18949,0.15432,0.17554
"Triangular(a=0, b=2, c=0.2)",10,0.16943,0.14879,0.1627
"Triangular(a=0, b=2, c=0.2)",11,0.1738,0.14488,0.15933
"Triangular(a=0, b=2, c=0.2)",12,0.16077,0.14224,0.15398
"Triangular(a=0, b=2, c=0.2)",13,0.16386,0.13788,0.15017
"Triangular(a=0, b=2, c=0.2)",14,0.14567,0.12887,0.13974
"Triangular(a=0, b=2, c=0.2)",15,0.14791,0.1237,0.13408
"Triangular(a=0, b=2, c=0.2)",16,0.13855,0.12467,0.13462
"Triangular(a=0, b=2, c=0.2)",17,0.14516,0.12792,0.13714
"Triangular(a=0, b=2, c=0.2)",18,0.12965,0.11769,0.12443
"Triangular(a=0, b=2, c=0.2)",19,0.13168,0.11302,0.12048
"Triangular(a=0, b=2, c=0.2)",20,0.12519,0.11296,0.1199
"Triangular(a=0, b=2, c=0.2)",21,0.12175,0.10978,0.11585
"Triangular(a=0, b=2, c=0.2)",22,0.12526,0.11154,0.11921
"Triangular(a=0, b=2, c=0.2)",23,0.11935,0.10429,0.11117
"Triangular(a=0, b=2, c=0.2)",24,0.11685,0.10783,0.11347
"Triangular(a=0, b=2, c=0.2)",25,0.11682,0.10302,0.10914
"Triangular(a=0, b=2, c=0.2)",26,0.10946,0.09942,0.10488
"Triangular(a=0, b=2, c=0.2)",27,0.11189,0.09923,0.10441
"Triangular(a=0, b=2, c=0.2)",28,0.11105,0.1013,0.10656
"Triangular(a=0, b=2, c=0.2)",29,0.10943,0.09897,0.10382
"Triangular(a=0, b=2, c=0.2)",30,0.10106,0.09292,0.09707
"Triangular(a=0, b=2, c=0.2)",31,0.10284,0.09273,0.09735
"Triangular(a=0, b=2, c=0.2)",32,0.10304,0.09467,0.09882
"Triangular(a=0, b=2, c=0.2)",33,0.10187,0.09051,0.09467
"Triangular(a=0, b=2, c=0.2)",34,0.09854,0.09087,0.09474
"Triangular(a=0, b=2, c=0.2)",35,0.09952,0.09108,0.09422
"Triangular(a=0, b=2, c=0.2)",36,0.09562,0.089,0.09323
"Triangular(a=0, b=2, c=0.2)",37,0.09673,0.08771,0.09128
"Triangular(a=0, b=2, c=0.2)",38,0.0939,0.08569,0.08979
"Triangular(a=0, b=2, c=0.2)",39,0.09177,0.08457,0.08749
"Triangular(a=0, b=2, c=0.2)",40,0.09119,0.08328,0.08689
"Triangular(a=0, b=2, c=0.2)",41,0.08824,0.08203,0.08508
"Triangular(a=0, b=2, c=0.2)",42,0.08721,0.08105,0.08418
"Triangular(a=0, b=2, c=0.2)",43,0.09136,0.08427,0.0876
"Triangular(a=0, b=2, c=0.2)",44,0.08692,0.08009,0.08312
"Triangular(a=0, b=2, c=0.2)",45,0.08456,0.07894,0.08151
"Triangular(a=0, b=2, c=0.2)",46,0.08322,0.07734,0.08035
"Triangular(a=0, b=2, c=0.2)",47,0.08793,0.08156,0.08451
"Triangular(a=0, b=2, c=0.2)",48,0.08057,0.07506,0.07792
"Triangular(a=0, b=2, c=0.2)",49,0.08093,0.07426,0.07761
"Triangular(a=0, b=2, c=0.2)",50,0.08117,0.07605,0.0786
"Beta(a=2, b=4)",5,0.09967,0.07461,0.08442
"Beta(a=2, b=4)",6,0.0879,0.07117,0.08026
"Beta(a=2, b=4)",7,0.08468,0.06572,0.07462
"Beta(a=2, b=4)",8,0.07331,0.06298,0.06872
"Beta(a=2, b=4)",9,0.0757,0.0611,0.06896
"Beta(a=2, b=4)",10,0.06498,0.05599,0.0611
"Beta(a=2, b=4)",11,0.06898,0.05681,0.06198
"Beta(a=2, b=4)",12,0.06319,0.05479,0.05939
"Beta(a=2, b=4)",13,0.06165,0.05396,0.0583
"Beta(a=2, b=4)",14,0.05812,0.05099,0.05563
"Beta(a=2, b=4)",15,0.05684,0.04849,0.05244
"Beta(a=2, b=4)",16,0.05491,0.0477,0.05186
"Beta(a=2, b=4)",17,0.0556,0.04816,0.05169
"Beta(a=2, b=4)",18,0.05135,0.0456,0.04889
"Beta(a=2, b=4)",19,0.05169,0.04523,0.04781
"Beta(a=2, b=4)",20,0.04662,0.04151,0.0442
"Beta(a=2, b=4)",21,0.04876,0.04316,0.04569
"Beta(a=2, b=4)",22,0.04631,0.0417,0.04398
"Beta(a=2, b=4)",23,0.04441,0.03885,0.04122
"Beta(a=2, b=4)",24,0.04428,0.04013,0.04243
"Beta(a=2, b=4)",25,0.04443,0.03885,0.04151
"Beta(a=2, b=4)",26,0.04053,0.03671,0.03852
"Beta(a=2, b=4)",27,0.04224,0.03738,0.03931
"Beta(a=2, b=4)",28,0.0404,0.03661,0.03855
"Beta(a=2, b=4)",29,0.03983,0.036,0.03765
"Beta(a=2, b=4)",30,0.03952,0.0359,0.03778
"Beta(a=2, b=4)",31,0.03974,0.03619,0.03791
"Beta(a=2, b=4)",32,0.03881,0.03538,0.03719
"Beta(a=2, b=4)",33,0.03892,0.03588,0.03734
"Beta(a=2, b=4)",34,0.03692,0.03373,0.03533
"Beta(a=2, b=4)",35,0.03693,0.03355,0.03506
"Beta(a=2, b=4)",36,0.03602,0.03348,0.03488
"Beta(a=2, b=4)",37,0.03653,0.03304,0.03465
"Beta(a=2, b=4)",38,0.03571,0.03288,0.03441
"Beta(a=2, b=4)",39,0.03569,0.03242,0.03376
"Beta(a=2, b=4)",40,0.03444,0.03178,0.03319
"Beta(a=2, b=4)",41,0.03364,0.03002,0.0315
"Beta(a=2, b=4)",42,0.0341,0.03167,0.03291
"Beta(a=2, b=4)",43,0.03289,0.0303,0.03124
"Beta(a=2, b=4)",44,0.03254,0.02979,0.03102
"Beta(a=2, b=4)",45,0.03261,0.03013,0.03125
"Beta(a=2, b=4)",46,0.03307,0.03038,0.03154
"Beta(a=2, b=4)",47,0.03215,0.02954,0.03079
"Beta(a=2, b=4)",48,0.03111,0.02876,0.02993
"Beta(a=2, b=4)",49,0.03088,0.02824,0.0295
"Beta(a=2, b=4)",50,0.03046,0.02821,0.02923
"Beta(a=2, b=10)",5,0.05994,0.04601,0.05151
"Beta(a=2, b=10)",6,0.04721,0.0413,0.04432
"Beta(a=2, b=10)",7,0.04912,0.03948,0.04397
"Beta(a=2, b=10)",8,0.04478,0.03865,0.04212
"Beta(a=2, b=10)",9,0.04143,0.03475,0.03791
"Beta(a=2, b=10)",10,0.03869,0.03386,0.03669
"Beta(a=2, b=10)",11,0.03901,0.03299,0.03543
"Beta(a=2, b=10)",12,0.03379,0.02997,0.03224
"Beta(a=2, b=10)",13,0.03413,0.02983,0.03183
"Beta(a=2, b=10)",14,0.03327,0.0293,0.03163
"Beta(a=2, b=10)",15,0.03156,0.02762,0.0293
"Beta(a=2, b=10)",16,0.02941,0.02674,0.02818
"Beta(a=2, b=10)",17,0.02859,0.02536,0.02678
"Beta(a=2, b=10)",18,0.02859,0.02583,0.02746
"Beta(a=2, b=10)",19,0.0277,0.02488,0.02616
"Beta(a=2, b=10)",20,0.02663,0.0244,0.02562
"Beta(a=2, b=10)",21,0.02659,0.02399,0.02543
"Beta(a=2, b=10)",22,0.02449,0.02268,0.02363
"Beta(a=2, b=10)",23,0.02571,0.02314,0.02442
"Beta(a=2, b=10)",24,0.0249,0.02283,0.02387
"Beta(a=2, b=10)",25,0.02439,0.0223,0.02324
"Beta(a=2, b=10)",26,0.02374,0.02157,0.02258
"Beta(a=2, b=10)",27,0.02325,0.02111,0.02184
"Beta(a=2, b=10)",28,0.02271,0.02106,0.02183
"Beta(a=2, b=10)",29,0.02308,0.02019,0.02124
"Beta(a=2, b=10)",30,0.02128,0.01949,0.02036
"Beta(a=2, b=10)",31,0.02249,0.02064,0.02137
"Beta(a=2, b=10)",32,0.02166,0.02001,0.02074
"Beta(a=2, b=10)",33,0.02067,0.01898,0.01971
"Beta(a=2, b=10)",34,0.02119,0.01959,0.02048
"Beta(a=2, b=10)",35,0.0205,0.01877,0.01959
"Beta(a=2, b=10)",36,0.02034,0.01888,0.01962
"Beta(a=2, b=10)",37,0.02043,0.01842,0.01924
"Beta(a=2, b=10)",38,0.019,0.01756,0.01827
"Beta(a=2, b=10)",39,0.01939,0.01792,0.01854
"Beta(a=2, b=10)",40,0.01856,0.01733,0.01797
"Beta(a=2, b=10)",41,0.01974,0.01818,0.01873
"Beta(a=2, b=10)",42,0.01889,0.0174,0.01802
"Beta(a=2, b=10)",43,0.01786,0.01659,0.01719
"Beta(a=2, b=10)",44,0.01762,0.01661,0.01723
"Beta(a=2, b=10)",45,0.01845,0.01734,0.01787
"Beta(a=2, b=10)",46,0.0178,0.01657,0.01722
"Beta(a=2, b=10)",47,0.01754,0.0163,0.01686
"Beta(a=2, b=10)",48,0.0175,0.01643,0.01697
"Beta(a=2, b=10)",49,0.01713,0.01598,0.01654
"Beta(a=2, b=10)",50,0.01746,0.01619,0.01683
"Normal(m=0, sd=1)",5,0.59179,0.42547,0.47983
"Normal(m=0, sd=1)",6,0.45685,0.37912,0.42172
"Normal(m=0, sd=1)",7,0.49178,0.37412,0.42045
"Normal(m=0, sd=1)",8,0.41466,0.3531,0.38784
"Normal(m=0, sd=1)",9,0.41378,0.33422,0.37556
"Normal(m=0, sd=1)",10,0.37015,0.31819,0.34661
"Normal(m=0, sd=1)",11,0.37979,0.31423,0.34388
"Normal(m=0, sd=1)",12,0.33144,0.28549,0.31095
"Normal(m=0, sd=1)",13,0.34986,0.29185,0.31495
"Normal(m=0, sd=1)",14,0.31618,0.27636,0.29907
"Normal(m=0, sd=1)",15,0.3132,0.2671,0.28638
"Normal(m=0, sd=1)",16,0.28193,0.24581,0.26849
"Normal(m=0, sd=1)",17,0.28723,0.24223,0.26183
"Normal(m=0, sd=1)",18,0.27829,0.25048,0.26802
"Normal(m=0, sd=1)",19,0.28433,0.24285,0.25847
"Normal(m=0, sd=1)",20,0.26011,0.23215,0.24746
"Normal(m=0, sd=1)",21,0.25343,0.22182,0.23606
"Normal(m=0, sd=1)",22,0.24625,0.22509,0.23689
"Normal(m=0, sd=1)",23,0.25644,0.23308,0.24386
"Normal(m=0, sd=1)",24,0.24103,0.21359,0.22669
"Normal(m=0, sd=1)",25,0.24674,0.22419,0.23543
"Normal(m=0, sd=1)",26,0.22139,0.20198,0.21222
"Normal(m=0, sd=1)",27,0.22526,0.20483,0.21581
"Normal(m=0, sd=1)",28,0.22328,0.20561,0.21579
"Normal(m=0, sd=1)",29,0.21599,0.19585,0.2049
"Normal(m=0, sd=1)",30,0.2124,0.18952,0.20033
"Normal(m=0, sd=1)",31,0.21313,0.19183,0.20061
"Normal(m=0, sd=1)",32,0.20474,0.18645,0.19449
"Normal(m=0, sd=1)",33,0.21315,0.19052,0.19938
"Normal(m=0, sd=1)",34,0.20663,0.19039,0.1993
"Normal(m=0, sd=1)",35,0.19702,0.18072,0.18832
"Normal(m=0, sd=1)",36,0.19332,0.17834,0.18557
"Normal(m=0, sd=1)",37,0.20141,0.18099,0.18946
"Normal(m=0, sd=1)",38,0.18069,0.16682,0.1728
"Normal(m=0, sd=1)",39,0.18557,0.17264,0.17877
"Normal(m=0, sd=1)",40,0.18346,0.17041,0.1779
"Normal(m=0, sd=1)",41,0.18365,0.16666,0.17374
"Normal(m=0, sd=1)",42,0.18067,0.16581,0.17294
"Normal(m=0, sd=1)",43,0.18285,0.16804,0.17518
"Normal(m=0, sd=1)",44,0.1753,0.16306,0.16982
"Normal(m=0, sd=1)",45,0.17386,0.15888,0.16479
"Normal(m=0, sd=1)",46,0.17715,0.16446,0.17081
"Normal(m=0, sd=1)",47,0.18052,0.16508,0.17179
"Normal(m=0, sd=1)",48,0.16174,0.15018,0.15694
"Normal(m=0, sd=1)",49,0.16697,0.15224,0.15816
"Normal(m=0, sd=1)",50,0.16644,0.1564,0.16153
"Weibull(scale=1, shape=2)",5,0.265,0.19608,0.219
"Weibull(scale=1, shape=2)",6,0.21729,0.18134,0.20069
"Weibull(scale=1, shape=2)",7,0.22747,0.17914,0.20141
"Weibull(scale=1, shape=2)",8,0.19797,0.16818,0.1846
"Weibull(scale=1, shape=2)",9,0.18714,0.1525,0.16904
"Weibull(scale=1, shape=2)",10,0.17099,0.14964,0.16228
"Weibull(scale=1, shape=2)",11,0.16781,0.14265,0.15382
"Weibull(scale=1, shape=2)",12,0.15849,0.13792,0.15054
"Weibull(scale=1, shape=2)",13,0.15898,0.1354,0.14556
"Weibull(scale=1, shape=2)",14,0.14869,0.13107,0.14153
"Weibull(scale=1, shape=2)",15,0.14189,0.11969,0.12751
"Weibull(scale=1, shape=2)",16,0.13674,0.12285,0.13104
"Weibull(scale=1, shape=2)",17,0.1335,0.11612,0.12279
"Weibull(scale=1, shape=2)",18,0.12973,0.11596,0.12379
"Weibull(scale=1, shape=2)",19,0.12662,0.1091,0.11603
"Weibull(scale=1, shape=2)",20,0.12418,0.11345,0.11957
"Weibull(scale=1, shape=2)",21,0.12027,0.10646,0.11271
"Weibull(scale=1, shape=2)",22,0.1171,0.10541,0.11149
"Weibull(scale=1, shape=2)",23,0.11438,0.10198,0.10766
"Weibull(scale=1, shape=2)",24,0.11239,0.10139,0.10678
"Weibull(scale=1, shape=2)",25,0.11345,0.10264,0.10718
"Weibull(scale=1, shape=2)",26,0.111,0.10114,0.10618
"Weibull(scale=1, shape=2)",27,0.10454,0.09364,0.09878
"Weibull(scale=1, shape=2)",28,0.10164,0.09337,0.09764
"Weibull(scale=1, shape=2)",29,0.10385,0.09382,0.09875
"Weibull(scale=1, shape=2)",30,0.10021,0.09384,0.09791
"Weibull(scale=1, shape=2)",31,0.10239,0.09079,0.09544
"Weibull(scale=1, shape=2)",32,0.09719,0.08872,0.09318
"Weibull(scale=1, shape=2)",33,0.09861,0.08902,0.09259
"Weibull(scale=1, shape=2)",34,0.09636,0.08811,0.09287
"Weibull(scale=1, shape=2)",35,0.09327,0.08497,0.08895
